20170406-14:18:18,5.52832508087,2810,0,250,0,132155,118385,472675,22450,0
20170406-14:18:23,5.47535610199,2855,0,240,0,133080,118315,156990,29990,0
20170406-14:18:29,5.32817006111,2820,0,255,0,134125,118170,130105,25035,0
20170406-14:18:34,5.33095908165,2825,0,265,0,136120,117810,129445,16715,0
20170406-14:18:39,5.42469716072,2815,0,275,0,137540,117545,128630,2905,0
20170406-14:18:45,5.46261191368,2805,0,270,0,138250,117470,126940,1450,0
20170406-14:18:51,5.85730814934,2815,0,245,0,139575,117320,125030,1395,0
20170406-14:18:56,5.59979200363,2835,0,255,0,142340,116900,121980,12245,0
20170406-14:19:02,5.32897806168,2835,0,240,0,142930,116755,119650,16070,0
20170406-14:19:07,5.44212412834,2820,0,260,0,143665,116420,117000,16265,0
20170406-14:19:12,5.32925105095,2805,0,235,0,145295,115790,114050,3120,0
20170406-14:19:18,5.45617699623,2820,0,230,0,148000,115250,112375,10540,0
20170406-14:19:23,5.37821793556,2825,0,240,0,148205,114695,110980,15335,25
20170406-14:19:29,5.36032700539,2845,0,245,0,148165,113750,110020,15815,0
20170406-14:19:34,5.32814788818,2825,0,245,0,148065,113360,109360,15790,0
20170406-14:19:39,5.32819914818,2835,0,250,0,154725,112810,108910,16485,0
20170406-14:19:45,5.29631400108,2845,0,245,0,155225,112805,108100,16280,0
20170406-14:19:50,5.64270710945,2825,0,260,0,155180,112525,107445,5395,0
20170406-14:19:56,5.66242003441,2820,0,240,0,154975,112590,107005,1735,0
20170406-14:20:01,5.36018395424,2770,0,270,0,161545,112230,106815,1350,0
20170406-14:20:07,5.39629817009,2845,0,255,0,166495,111920,106390,1365,0
20170406-14:20:12,5.32771205902,2840,0,265,0,167505,111680,106015,1340,0
20170406-14:20:17,5.32566690445,2870,0,250,0,167920,111575,105755,22730,0
20170406-14:20:23,5.39173603058,2805,0,285,0,167865,111540,105380,30190,0
20170406-14:20:28,5.35924196243,2810,0,285,0,168340,111220,104750,25065,0
20170406-14:20:33,5.32780194283,111750,0,260,0,172100,110820,104370,16115,0
20170406-14:20:39,5.3918428421,222315,0,250,0,173650,110615,103830,2715,219790
20170406-14:20:44,5.57533693314,57040,0,255,0,174295,110345,103510,1450,269955
20170406-14:20:50,5.29531598091,63230,0,265,0,174705,109995,103245,1370,271065
20170406-14:20:55,5.32813191414,62875,0,270,0,175020,109690,102745,8335,270105
20170406-14:21:00,5.29664301872,62275,0,240,0,175235,109725,102350,15880,268380
20170406-14:21:06,5.39305901527,61985,0,255,0,178030,109490,101845,16295,267760
20170406-14:21:12,5.88731098175,61930,0,265,0,179980,109215,101280,3370,105495
20170406-14:21:17,5.52712512016,61900,0,220,527175,180555,109085,101195,10445,9690
20170406-14:21:23,5.94210410118,61770,0,285,583515,181180,109140,100695,15490,455
20170406-14:21:28,5.32969307899,61770,0,275,586655,181550,109525,100650,15970,0
20170406-14:21:34,5.29665184021,62075,0,260,587350,181655,109365,100335,15980,0
20170406-14:21:39,5.36343193054,62150,6115,235,587345,181940,109220,100370,16375,0
20170406-14:21:44,5.32756209373,62090,9710,245,586990,183525,109050,100130,16405,0
20170406-14:21:50,5.29790186882,62020,10005,275,587965,184810,140545,99970,6035,0
20170406-14:21:55,5.36001300812,61865,10045,275,587925,185360,111820,99595,1765,0
20170406-14:22:00,5.29575896263,61745,10120,235,587330,185915,109105,99430,1360,0
20170406-14:22:06,5.32832503319,61705,10140,270,586960,186215,108375,99585,1365,0
20170406-14:22:11,5.39207601547,61525,10150,270,587605,186570,108010,99420,1350,0
20170406-14:22:16,5.32886195183,61355,10150,265,587285,186820,108060,99150,20680,0
20170406-14:22:22,5.29584002495,61230,10165,205,587110,186905,108050,98920,29985,0
20170406-14:22:27,5.44265198708,60645,10185,250,586790,186975,134975,98670,30845,0
20170406-14:22:33,5.39215683937,60590,10145,240,587020,188575,109950,98705,17000,0
20170406-14:22:38,5.49309897423,60555,10125,235,586755,189695,107555,98700,3035,0
20170406-14:22:43,5.41005396843,60590,10145,240,586275,190155,107450,98370,1525,0
20170406-14:22:49,5.4114279747,60610,10160,235,586520,190590,107180,98405,1380,0
20170406-14:22:55,5.69256091118,178550,10140,295,586020,190790,107185,98295,5830,0
20170406-14:23:00,5.5942761898,83775,10150,260,585760,191035,107230,98430,15755,0
20170406-14:23:06,5.38401508331,74195,10135,275,586160,191115,107340,98320,16300,0
20170406-14:23:12,6.495470047,73645,10160,260,585350,191215,106970,98125,2960,0
20170406-14:23:17,5.47462487221,73485,10115,240,585375,191320,106830,98015,8845,0
20170406-14:23:23,5.3276860714,73355,10160,245,586615,191355,106925,98170,15575,0
20170406-14:23:28,5.47523903847,73155,10165,255,585725,192875,106925,98270,15935,0
20170406-14:23:34,5.29563903809,73255,10395,260,585790,193785,107195,98040,15965,0
20170406-14:23:39,5.36079096794,73100,10415,220,586525,193930,107485,97820,16310,0
20170406-14:23:44,5.39254498482,73110,10365,265,586225,194320,107525,97730,16395,0
20170406-14:23:50,5.42513394356,73085,10310,260,585280,194415,107410,97965,5190,0
20170406-14:23:55,5.3604581356,73100,10285,300,584955,194500,107420,98005,1710,0
20170406-14:24:01,6.36316418648,72885,10315,260,584815,194530,107040,97820,1400,0
20170406-14:24:07,5.29601287842,72570,10265,275,583865,194675,106555,97975,1365,0
20170406-14:24:12,5.41433095932,72595,10250,260,583560,194750,106220,97835,1395,0
20170406-14:24:18,5.32791996002,72535,10270,255,583045,194730,105655,97720,22470,0
20170406-14:24:23,5.33132910728,72715,10280,265,582485,194725,105495,97540,30145,0
20170406-14:24:28,5.39201712608,72705,10270,260,582525,194815,105595,97465,25855,0
20170406-14:24:35,6.427038908,72460,10110,265,583105,195270,105835,97365,10355,0
20170406-14:24:40,5.6725230217,72450,10055,260,582815,196280,106030,97315,1885,0
20170406-14:24:46,5.45604300499,71600,10025,270,583170,196565,106180,97270,1405,0
20170406-14:24:51,5.45724010468,71765,10060,265,584490,196665,105830,97385,1365,0
20170406-14:24:57,5.6742708683,72095,10005,260,583890,196720,105590,97135,12840,0
20170406-14:25:02,5.54344511032,71925,10020,240,583850,196880,105545,97210,16180,0
20170406-14:25:08,5.32774591446,71780,10005,260,583975,196970,105725,97105,16020,0
20170406-14:25:13,5.39268398285,71730,10040,270,583450,196985,105695,97105,2200,0
20170406-14:25:19,5.32790493965,71595,4570,280,582625,197125,105460,97120,12360,0
20170406-14:25:24,5.55964899063,71530,380,250,582465,197120,105110,96995,15620,0
20170406-14:25:29,5.32795190811,71395,0,260,582175,197035,105030,97210,15865,0
20170406-14:25:35,5.41389393806,40995,0,280,581055,196875,105415,97110,15235,0
20170406-14:25:41,6.39522314072,15795,0,250,580930,197180,105470,96715,16230,0
20170406-14:25:47,5.35969996452,4755,0,245,581945,197025,105415,96910,16275,0
20170406-14:25:52,5.39228892326,3215,0,255,581535,197070,105225,96875,3395,0
20170406-14:25:57,5.35983490944,96280,0,255,581160,198060,104950,96915,1475,0
20170406-14:26:03,5.42460107803,118780,0,250,582320,198645,105015,96830,1345,0
20170406-14:26:08,5.35983610153,78045,0,240,582345,198715,105070,96770,1370,0
20170406-14:26:14,6.33094406128,73315,0,255,581360,199025,104780,96760,8140,0
20170406-14:26:20,5.35997200012,71975,0,250,581830,198970,104545,96800,28160,0
20170406-14:26:25,5.29658102989,257500,0,270,581475,199200,104490,96635,30555,0
20170406-14:26:31,5.41035294533,106500,0,280,580965,199150,104630,96635,19190,0
20170406-14:26:36,5.36509299278,86545,0,290,581445,199285,104655,96600,5960,0
20170406-14:26:41,5.52094888687,85145,0,240,581775,199370,104410,96690,1780,0
20170406-14:26:47,5.32740402222,84850,0,250,580520,199295,104260,96570,1390,0
20170406-14:26:52,5.37829089165,84880,0,230,580195,199325,104250,96495,1345,0
20170406-14:26:58,5.83631801605,84825,0,250,580545,199210,104235,96575,14520,0
20170406-14:27:03,5.55728411674,84765,0,260,580215,199310,104345,96580,16135,0
20170406-14:27:09,5.32755112648,84905,0,280,580475,199395,104515,96640,9080,0
20170406-14:27:14,5.42457294464,84930,0,275,580905,199240,104575,96725,2085,0
20170406-14:27:20,5.39049887657,84800,0,255,579990,199265,104325,96285,14035,0
20170406-14:27:26,6.42475414276,84765,0,275,580355,199600,104160,96440,15825,0
20170406-14:27:31,5.32776808739,84680,0,250,581215,199420,104050,96415,15905,0
20170406-14:27:37,5.47534298897,84625,0,260,580880,200550,104070,96435,16025,0
20170406-14:27:42,5.39196300507,84630,0,210,579290,200970,103860,96260,16310,0
20170406-14:27:48,5.29650306702,84600,0,250,579575,200965,103995,96180,16340,0
20170406-14:27:53,5.54265093803,84625,0,285,579210,200985,103745,96380,3050,0
20170406-14:27:59,6.39765095711,160405,0,250,578865,201215,103325,96325,1400,0
20170406-14:28:05,5.50613093376,102970,0,245,579025,201180,103300,96235,1380,0
20170406-14:28:10,5.39268112183,99400,0,250,579455,201335,103225,96220,1365,0
20170406-14:28:16,5.32792520523,99245,0,260,310040,201340,103070,96255,9770,0
20170406-14:28:21,5.45716691017,99200,0,280,36645,201290,102935,96185,29450,0
20170406-14:28:26,5.32817292213,99200,0,285,10380,201340,103135,96005,30725,0
20170406-14:28:32,5.35739088058,99155,0,240,8865,201325,103285,96015,17570,0
20170406-14:28:37,5.41033005714,99105,0,240,8795,201300,103505,96175,3740,0
20170406-14:28:43,5.29539895058,98745,0,260,375290,201330,103725,96235,1575,0
20170406-14:28:48,5.32861995697,98935,0,255,562625,201340,103600,96105,1375,0
20170406-14:28:53,5.59243512154,98545,0,260,579570,201415,103580,95960,1380,0
20170406-14:28:59,5.65776896477,98345,0,230,581975,201425,103325,96130,13920,0
20170406-14:29:05,5.64294505119,98545,0,260,98965,201395,103130,96200,16240,0
20170406-14:29:10,5.50753307343,98650,0,260,13780,201555,102910,96040,5360,0
20170406-14:29:16,5.39201211929,27355,0,255,9055,201415,102670,96070,1755,0
20170406-14:29:21,5.39338111877,44465,0,290,8820,201395,102560,96105,13320,0
20170406-14:29:27,5.42506098747,46695,0,245,244405,201485,102705,95945,15815,0
20170406-14:29:32,5.3604259491,46720,0,255,562745,201545,102725,95860,15905,0
20170406-14:29:37,5.37797307968,46670,0,250,579910,202950,102955,95770,16065,0
20170406-14:29:43,5.36074590683,46745,0,265,138425,203020,103030,95660,16285,0
20170406-14:29:48,5.294080019,46805,0,245,15995,203045,102855,95875,16255,0
20170406-14:29:53,5.49467301369,46760,0,285,9440,203135,102545,95835,2770,0
20170406-14:29:59,5.29635095596,46615,0,235,8785,203380,102345,96055,1420,0
20170406-14:30:04,5.36261606216,46770,0,265,8770,203300,102090,96000,1350,0
20170406-14:30:09,5.32790398598,46520,0,240,8800,203230,102285,96045,1350,0
20170406-14:30:16,6.47582197189,46795,0,265,349360,203070,102345,95450,7380,0
20170406-14:30:21,5.36049509048,46760,0,265,573125,203280,102430,95590,28790,0
20170406-14:30:27,5.29586911201,46760,0,245,580780,203520,102490,95355,30735,0
20170406-14:30:32,5.42459702492,46695,0,265,126155,203470,102330,95440,18105,0
20170406-14:30:37,5.39211821556,46800,0,260,26250,203340,102065,95665,4830,0
20170406-14:30:43,5.32826018333,46725,0,245,9745,203215,102145,95640,1530,0
20170406-14:30:48,5.37498307228,46670,0,255,8805,203335,101985,95360,1370,0
20170406-14:30:54,5.5750169754,46790,0,250,478440,203405,101755,95130,2280,0
20170406-14:30:59,5.70982098579,46790,0,285,575690,203485,101605,95020,15050,0
20170406-14:31:05,5.69292092323,46725,0,245,90140,203435,101470,95285,16245,0
20170406-14:31:10,5.32814002037,46515,0,245,13435,203445,101660,95210,6790,0
20170406-14:31:16,5.35576987267,46530,0,245,9205,203515,101625,95250,1645,0
20170406-14:31:21,5.42498803139,46520,0,260,8770,203560,101600,95145,13460,0
20170406-14:31:27,5.44607710838,46535,0,240,75315,203475,101540,95085,15800,0
20170406-14:31:32,5.35982704163,46505,0,255,534850,203590,101355,94815,15865,0
20170406-14:31:37,5.38957595825,46530,0,260,578275,203510,101075,95075,16120,0
20170406-14:31:43,5.47481608391,46625,0,245,580475,203500,101155,95215,16305,0
20170406-14:31:48,5.39191699028,46510,0,240,423620,203520,101150,95195,14700,0
20170406-14:31:54,5.36037302017,46620,0,245,31840,203595,101030,94850,3325,0
20170406-14:31:59,5.39216780663,46585,0,270,10885,203580,100995,94655,1445,0
20170406-14:32:04,5.39296317101,46580,0,245,8855,204700,100965,94735,1365,0
20170406-14:32:10,5.3278799057,46430,0,260,8750,205065,100900,94770,1360,140555
20170406-14:32:15,5.45991015434,46395,0,240,8740,205130,100800,94660,8325,261265
20170406-14:32:20,5.3586101532,46330,0,245,8735,205300,100925,94745,27910,270305
20170406-14:32:26,5.29611492157,46385,0,235,8765,205225,101235,94795,30690,269960
20170406-14:32:31,5.44219589233,46450,0,240,349945,205245,101090,94495,19055,269115
20170406-14:32:37,5.32869505882,46385,0,230,567750,205340,100835,94355,6220,268125
20170406-14:32:42,5.32772111893,46320,0,260,580050,205315,100825,94410,1620,267380
20170406-14:32:47,5.3606262207,46290,0,265,526175,205260,100565,94095,1365,267145
20170406-14:32:53,5.64024090767,46355,0,280,590985,205425,100410,94115,1360,264765
20170406-14:32:59,5.90814399719,46140,0,255,83215,205475,100150,94210,14460,266050
20170406-14:33:04,5.54041099548,46040,0,245,287670,205425,99795,94155,16210,265770
20170406-14:33:11,6.730894804,45960,0,225,564480,205435,99570,94075,4320,265490
20170406-14:33:16,5.29679703712,45980,0,270,160570,205605,99915,94125,1630,265345
20170406-14:33:22,5.39199590683,45985,0,235,17485,205630,100095,94225,14565,265530
20170406-14:33:27,5.29634714127,46025,0,235,519880,205510,100230,94090,15870,265720
20170406-14:33:32,5.39200401306,46060,0,235,106265,205615,100485,93895,15885,265430
20170406-14:33:39,6.41301608086,45905,0,255,12130,205605,100400,93805,16180,265045
20170406-14:33:44,5.32811903954,45945,0,270,30740,205610,100155,93615,16340,265305
20170406-14:33:49,5.29599094391,45940,0,265,551855,205665,99825,93870,8625,265290
20170406-14:33:55,5.32892203331,46160,0,255,393480,205565,99530,93710,2025,19700
20170406-14:34:00,5.299077034,46135,0,250,182070,205685,99145,93875,1395,1755
20170406-14:34:05,5.37981295586,46165,0,255,47015,205750,99040,93965,1345,80
20170406-14:34:11,5.33225297928,46155,0,250,33745,205645,98960,93955,1310,0
20170406-14:34:16,5.36111497879,46265,0,270,11280,205690,99060,93690,8970,0
20170406-14:34:22,5.6145298481,46195,0,235,8980,205675,99280,93540,29285,0
20170406-14:34:27,5.3598780632,46215,0,250,8775,205850,99405,93660,30735,0
20170406-14:34:32,5.29980683327,45605,0,265,264425,205830,99445,93565,17655,0
20170406-14:34:38,5.29618000984,8995,0,265,553375,205890,99430,93775,4095,0
20170406-14:34:43,5.36320185661,2750,0,235,581165,205860,99380,93520,1605,0
20170406-14:34:48,5.36005401611,2850,0,275,488475,205890,99335,93415,1370,0
20170406-14:34:54,5.45690202713,2870,0,250,53110,205900,99140,93475,1375,0
20170406-14:35:20,26.0796279907,2855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:35:31,11.0065908432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:03,32.0190639496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:08,5.00515794754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:13,5.00517511368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:45,32.0233328342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:50,5.00223493576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:55,5.00400805473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
